Beginn,Ende,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Joggen – Dauer (ms)
12:00:00.000+01:00,12:15:00.000+01:00,18.848958530329462,,,,,51.23906707763672,6.817725658416748,51.23925018310547,6.817770481109619,,,,,,,,,900000,,
12:15:00.000+01:00,12:30:00.000+01:00,18.848958530329462,,,,,51.23906707763672,6.817725658416748,51.23906707763672,6.817725658416748,,,,,,,,,900000,,
12:30:00.000+01:00,12:45:00.000+01:00,18.848958530329462,,,,,51.2392463684082,6.817173480987549,51.23932647705078,6.8177385330200195,,,,,,,,,900000,,
12:45:00.000+01:00,13:00:00.000+01:00,18.848958530329462,,,,,51.23906707763672,6.817725658416748,51.239227294921875,6.817775249481201,,,,,,,,,900000,,
13:00:00.000+01:00,13:15:00.000+01:00,18.848958530329462,,,,,51.23906707763672,6.817725658416748,51.23906707763672,6.817725658416748,,,,,,,,,900000,,
13:15:00.000+01:00,13:30:00.000+01:00,18.848958530329462,,,,,51.23921585083008,6.8177714347839355,51.23921585083008,6.8177714347839355,,,,,,,,,900000,,
13:30:00.000+01:00,13:45:00.000+01:00,18.848958530329462,,,,,51.23906707763672,6.817725658416748,51.239219665527344,6.817773818969727,,,,,,,,,900000,,
13:45:00.000+01:00,14:00:00.000+01:00,18.848958530329462,,,,,51.23906707763672,6.817725658416748,51.23917770385742,6.817778587341309,,,,,,,,,900000,,
14:00:00.000+01:00,14:15:00.000+01:00,18.848958530329462,,,,,51.239036560058594,6.817533493041992,51.2392463684082,6.817789077758789,,,,,,,,,900000,,
14:15:00.000+01:00,14:30:00.000+01:00,18.848958530329462,,,,,51.23906707763672,6.817725658416748,51.23906707763672,6.817725658416748,,,,,,,,,900000,,
