Beginn,Ende,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms)
19:00:00.000+01:00,19:15:00.000+01:00,21.250000068648898,,,,,,,,,,,,,,,,900000
19:15:00.000+01:00,19:30:00.000+01:00,21.250000068648898,,,,,,,,,,,,,,,,900000
19:30:00.000+01:00,19:45:00.000+01:00,21.250000068648898,,,,,,,,,,,,,,,,900000
19:45:00.000+01:00,20:00:00.000+01:00,21.250000068648898,,,,,,,,,,,,,,,,900000
20:00:00.000+01:00,20:15:00.000+01:00,21.250000068648898,,,,,,,,,,,,,,,,900000
20:15:00.000+01:00,20:30:00.000+01:00,21.250000068648898,,,,,,,,,,,,,,,,900000
20:30:00.000+01:00,20:45:00.000+01:00,21.250000068648898,,,,,,,,,,,,,,,,900000
20:45:00.000+01:00,21:00:00.000+01:00,21.250000068648898,,,,,,,,,,,,,,,,900000
21:00:00.000+01:00,21:15:00.000+01:00,21.250000068648898,,,,,,,,,,,,,,,,900000
21:15:00.000+01:00,21:30:00.000+01:00,21.250000068648898,,,,,,,,,,,,,,,,900000
21:30:00.000+01:00,21:45:00.000+01:00,21.250000068648898,,,,,,,,,,,,,,,,900000
21:45:00.000+01:00,22:00:00.000+01:00,21.250000068648898,,,,,,,,,,,,,,,,900000
22:00:00.000+01:00,22:15:00.000+01:00,21.250000068648898,,,,,,,,,,,,,,,,900000
22:15:00.000+01:00,22:30:00.000+01:00,21.250000068648898,,,,,,,,,,,,,,,,900000
22:30:00.000+01:00,22:45:00.000+01:00,21.250000068648898,,,,,,,,,,,,,,,,900000
22:45:00.000+01:00,23:00:00.000+01:00,21.250000068648898,,,,,,,,,,,,,,,,900000
23:00:00.000+01:00,23:15:00.000+01:00,21.250000068648898,,,,,,,,,,,,,,,,900000
23:15:00.000+01:00,23:30:00.000+01:00,21.250000068648898,,,,,,,,,,,,,,,,900000
23:30:00.000+01:00,23:45:00.000+01:00,21.250000068648898,,,,,,,,,,,,,,,,900000
23:45:00.000+01:00,00:00:00.000+01:00,21.250000068648898,,,,,,,,,,,,,,,,900000
