Beginn,Ende,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Laufen – Dauer (ms),Joggen – Dauer (ms)
13:15:00.000+02:00,13:30:00.000+02:00,31.229167064030964,68.0,,,,,,,,0.47833330631256105,0.6499999761581421,0.13333332538604736,87,,,,720000,180000,,
13:30:00.000+02:00,13:45:00.000+02:00,18.848957334245956,,,,,,,,,,,,27,,,,900000,,,
13:45:00.000+02:00,14:00:00.000+02:00,18.848957334245956,,,,,,,,,,,,,,,,900000,,,
14:00:00.000+02:00,14:15:00.000+02:00,18.848957334245956,,,,,,,,,,,,,,,,900000,,,
14:15:00.000+02:00,14:30:00.000+02:00,18.848957334245956,,,,,,,,,,,,,,,,900000,,,
14:30:00.000+02:00,14:45:00.000+02:00,18.848957334245956,,,,,,,,,,,,,,,,900000,,,
14:45:00.000+02:00,15:00:00.000+02:00,55.989586580367316,250.0,,,,51.239227294921875,6.817778587341309,51.23934555053711,6.81799840927124,0.4187499644855658,1.216666579246521,0.03333333134651184,319,,,,360000,540000,,
15:00:00.000+02:00,15:15:00.000+02:00,22.97569365655222,3.0,,,,51.23968505859375,6.797542572021484,51.2569580078125,6.81830358505249,0.04999999701976776,0.04999999701976776,0.04999999701976776,5,,,,,60000,,
15:15:00.000+02:00,15:30:00.000+02:00,18.84895711450533,,,,,51.34978103637695,6.857840061187744,51.34978103637695,6.857840061187744,1.3144601583480835,1.3144601583480835,1.3144601583480835,,,,,,,,
15:30:00.000+02:00,15:45:00.000+02:00,18.84895711450533,,,,,51.38251495361328,6.954656600952148,51.399871826171875,7.000554084777832,13.927349132983721,15.462267875671387,1.6441551446914673,,,,,,,,
15:45:00.000+02:00,16:00:00.000+02:00,18.84895711450533,,,,,51.38270950317383,7.000523567199707,51.38377380371094,7.000554084777832,,,,,,,,,,,
16:00:00.000+02:00,16:15:00.000+02:00,233.44667804955338,3919.8150071751297,96.128125,135.0,70.0,51.38056182861328,6.990187168121338,51.3862190246582,6.999242782592773,1.8554099533266712,26.649999618530273,0.0,2284,,,,,,720000,31000
