Beginn,Ende,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Laufen – Dauer (ms)
11:15:00.000+02:00,11:30:00.000+02:00,219.57834243774414,7210.42912660446,,,,51.25111389160156,6.8216633796691895,51.267452239990234,6.830502510070801,0.9027305822304857,1.8944135904312134,0.5002025365829468,2666,,,,,,,900000
11:30:00.000+02:00,11:45:00.000+02:00,225.71261978149414,2410.460992253851,,,,51.263675689697266,6.830458641052246,51.273765563964844,6.844602584838867,1.0004299904600014,2.0117948055267334,0.5008415579795837,2099,,,,,,,900000
11:45:00.000+02:00,12:00:00.000+02:00,229.40168476104736,3593.5609446512535,,,,51.26203918457031,6.844631195068359,51.26752853393555,6.861395835876465,1.680687928582393,3.1819443702697754,0.5014155507087708,2417,,,,,,,900000
12:00:00.000+02:00,12:15:00.000+02:00,228.85645294189453,4415.302668094635,,,,51.2470588684082,6.8525390625,51.26201629638672,6.8583984375,1.721909371563973,2.642674207687378,0.5145143866539001,2553,,,,,,,900000
12:15:00.000+02:00,12:30:00.000+02:00,210.03349494934082,3585.346485744696,,,,51.24152374267578,6.834073543548584,51.247406005859375,6.84664249420166,1.2133948593762613,2.957014799118042,0.5014541745185852,2331,,,,,,,900000
12:30:00.000+02:00,12:45:00.000+02:00,251.89153385162354,2696.2352122737793,,,,51.24296569824219,6.818068504333496,51.248077392578125,6.83693790435791,1.328915295021574,3.7371573448181152,0.5042112469673157,2254,,,,,,,900000
12:45:00.000+02:00,13:00:00.000+02:00,31.206116892256826,139.1875826716423,,,,51.24764633178711,6.817094802856445,51.24808883666992,6.818058013916016,0.9276608841498197,1.6666666269302368,0.03333333134651184,138,81.5999984741211,81.5999984741211,81.5999984741211,,720000,180000,
13:00:00.000+02:00,13:15:00.000+02:00,18.703122408884877,,,,,,,,,,,,,,,,,900000,,
13:15:00.000+02:00,13:30:00.000+02:00,18.703122408884877,,,,,,,,,,,,,,,,,900000,,
13:30:00.000+02:00,13:45:00.000+02:00,18.703122408884877,,,,,51.24764633178711,6.817384243011475,51.24764633178711,6.817384243011475,,,,,,,,,900000,,
13:45:00.000+02:00,14:00:00.000+02:00,18.703122408884877,,,,,51.24760818481445,6.817387104034424,51.247711181640625,6.817578315734863,,,,,,,,,900000,,
14:00:00.000+02:00,14:15:00.000+02:00,18.703122408884877,,,,,,,,,,,,,,,,,900000,,
