Datum,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Laufen – Dauer (ms),Calisthenics – Dauer (ms),Joggen – Dauer (ms)
2018-02-18,3285.589036902842,14219.315434932709,147.69491076161867,175.0,84.0,51.241214752197266,6.793328762054443,52.784934997558594,8.255661964416504,11.6055503567108,46.01721954345703,0.0,20573,,,,,59519451,2539258,5660926,,
2018-02-19,2214.99286927682,6155.498197078705,,,,51.2192268371582,6.7866339683532715,51.45252227783203,7.015872955322266,2.6497902027537394,22.06258773803711,0.02577192708849907,7111,,,,,70047866,5613428,,,
2018-02-20,2780.3303637157483,9710.924065709114,122.63763861709067,154.0,77.0,51.18836975097656,6.77601957321167,51.43864440917969,7.076351165771484,4.785215579068528,50.27920913696289,0.0,16790,,,,,63960438,6913449,,,3067108
2018-02-21,1855.1268584047275,197.798113822937,,,,51.244998931884766,6.7933430671691895,51.444252014160156,7.0074005126953125,3.217477254866947,51.54137420654297,0.09096934646368027,877,,,,,77585401,663385,,,
2018-02-22,2340.221511629336,7610.983366243541,,,,51.217933654785156,6.77292537689209,51.45252227783203,7.015872955322266,1.198573999892229,11.660555839538574,0.25442272424697876,12794,,,,,71905090,7712616,,,
2018-02-23,1831.0077506990433,171.23076349496841,,,,51.246883392333984,6.793625354766846,51.439083099365234,7.005429267883301,2.462634654308634,45.86920166015625,0.045580413192510605,1503,,,,,79452106,312710,,,
2018-02-24,1809.4999056169836,,,,,51.24737548828125,6.817183971405029,51.24773406982422,6.8175740242004395,1.0941357529203495,1.412384271621704,0.5176498293876648,27,,,,,86262514,,,,
2018-02-25,1926.0415886168662,1254.190561056137,,,,51.24509048461914,6.749364852905273,51.257911682128906,6.820653438568115,1.2896738236531857,17.08159828186035,0.03979382663965225,3417,,,,,80131606,1694438,,,
2018-02-26,3243.1062821378023,26415.164694573265,144.12147468569486,177.0,107.0,51.18778991699219,6.800734996795654,51.27375411987305,6.85870885848999,1.6458581586372512,28.590106964111328,0.132999986410141,18033,,,,240000,75090870,2122421,5647486,,
2018-02-27,2570.2417085393645,7807.026954293251,,,,51.22627639770508,6.785491466522217,51.42066192626953,7.076194763183594,2.1820443920197063,106.46568298339844,0.3275437355041504,12877,,,,,69746897,3317689,2617250,,
2018-02-28,1883.4976942304652,628.698175907135,,,,51.24507141113281,6.764832496643066,51.29768371582031,6.8272857666015625,1.4929630022321931,30.36715316772461,0.23701350390911102,1677,,,,,82898723,1075877,,,
2018-03-01,2275.801530802728,2834.503215789795,,,,37.01810836791992,-8.545553207397461,51.2896728515625,6.818802356719971,16.57599835593751,213.72056579589844,0.3618379533290863,8829,,,,,71588561,6779716,,,
2018-03-02,2803.5355715333762,7891.099153161049,,,,37.11360168457031,-8.548160552978516,37.25091552734375,-8.082823753356934,3.0103104902989872,40.803565979003906,0.034136880189180374,17747,85.0,85.0,85.0,,61764724,14452617,,,
2018-03-03,2810.2860485542083,12222.48210889101,,,,37.11314010620117,-8.544916152954102,37.14387130737305,-8.525501251220703,1.4669654628762323,9.50447940826416,0.08111049234867096,16398,85.0,85.0,85.0,,71437637,14550767,,,
2018-03-04,2931.3539454234347,12029.178842969239,,,,37.11228561401367,-8.578401565551758,37.336326599121094,-8.524322509765625,2.0734572681089416,20.00834846496582,0.036863137036561966,19493,85.0,85.0,85.0,,63167891,16309689,,,
2018-03-05,2560.6848051735574,7384.587302953005,,,,37.113670349121094,-8.60755443572998,37.127784729003906,-8.521258354187012,1.757338086677641,22.044322967529297,0.3634609878063202,12779,85.0,85.0,85.0,,70940814,10919035,,,
2018-03-06,3056.944765251722,16382.075137004256,,,,37.0737419128418,-8.95195484161377,37.18323516845703,-8.526928901672363,3.6924405949768295,37.32536315917969,0.007298198062926531,25306,85.0,85.0,85.0,,59764289,18137019,,,
2018-03-07,2519.851109043298,5343.178237438202,,,,37.003543853759766,-8.540907859802246,51.280372619628906,6.822360992431641,22.272741374300505,234.52279663085938,0.3453131914138794,10477,85.0,85.0,85.0,,56095152,10328034,,,
2018-03-08,2292.4258672973338,5273.323650627048,,,,51.223548889160156,6.772421836853027,51.25529861450195,6.821998596191406,1.2048084048086407,39.279441833496094,0.0664999932050705,6628,85.0,85.0,85.0,663361,78743353,6298431,,,
2018-03-09,2009.933135727595,1141.748920917511,,,,51.21636962890625,6.795841217041016,51.24856948852539,6.829832553863525,4.889003029364576,13.892400741577148,0.3615206480026245,2464,85.0,85.0,85.0,,79036699,2914166,,,
2018-03-10,1981.2925603423714,1317.4169702529907,,,,51.244964599609375,6.793673038482666,51.43891525268555,6.974554061889648,2.6706118337142493,38.06707000732422,0.314999520778656,4926,85.0,85.0,85.0,,75836823,2497751,,,
2018-03-11,3333.558355497032,16468.07870197296,154.00095283468318,180.0,112.0,51.219017028808594,6.760772228240967,51.27375030517578,6.859103202819824,1.3920225350105564,15.59560775756836,0.2689637541770935,17643,85.0,85.0,85.0,,75616223,3558872,5159492,,
2018-03-12,2126.7510451257426,2445.1871156692505,,,,51.23902893066406,6.810603141784668,51.2478141784668,6.819194316864014,1.4687308508164985,8.897239685058594,0.30409884452819824,5492,85.0,85.0,85.0,768944,81365556,3775108,,,
2018-03-13,1903.395104444173,1799.4347697496414,,,,51.23885726928711,6.812589645385742,51.24785614013672,6.818299293518066,1.5340165488812154,3.5405113697052,0.17191193997859955,2399,85.0,85.0,85.0,600000,84982195,719315,,,
2018-03-14,1915.969390123083,2000.9445116519928,,,,51.23899841308594,6.811612129211426,51.24782943725586,6.818323612213135,1.1397642769058836,2.6306965351104736,0.5579484105110168,4097,85.0,85.0,85.0,,84853721,1546279,,,
2018-03-15,2135.994553013053,3905.15185213089,,,,51.23902130126953,6.8127312660217285,51.247859954833984,6.820050239562988,0.7495359913342545,1.437979817390442,0.30288413166999817,5359,85.0,85.0,85.0,,81561701,4747014,,,
2018-03-16,2615.639507642367,9981.605608463287,137.70551894563425,151.0,92.0,51.23888397216797,6.812700271606445,51.26716613769531,6.836557865142822,1.103976584618512,4.59798526763916,0.0,11381,85.0,85.0,85.0,491042,81332724,1409247,,,3166987
2018-03-17,2024.9427266485675,1275.6325446367264,,,,51.244972229003906,6.793233871459961,52.05527877807617,7.146200656890869,5.075819496696133,54.01016616821289,0.23343779146671295,3521,85.0,85.0,85.0,,75026454,3132395,,,
2018-03-18,3054.238006885489,13782.067085981369,,,,51.2413444519043,6.815496921539307,51.3451042175293,6.900744915008545,1.6700847477036942,23.90030860900879,0.09883204847574234,15372,85.0,85.0,85.0,,76114756,1868979,4910095,,
2018-03-19,1950.2388815158756,2098.3141092061996,,,,51.2388916015625,6.812983989715576,51.2476692199707,6.818697452545166,0.9012519650718227,3.5025107860565186,0.36951538920402527,2205,85.0,85.0,85.0,484920,84387042,1528038,,,
2018-03-20,2188.74360110975,7463.820591449738,,,,51.23869705200195,6.793673038482666,51.42124938964844,7.076190948486328,1.8174373985013912,43.05343246459961,0.05983835458755493,11071,,,,970975,76565397,3738875,,,
2018-03-21,1836.8653956830108,295.83726501464844,,,,51.238826751708984,6.793255805969238,51.47354507446289,7.1262969970703125,2.6423521712797875,49.5333251953125,0.3625306189060211,818,,,,,81514537,397876,,,
2018-03-22,1971.5069305357483,2263.5869134664536,,,,51.238990783691406,6.812203407287598,51.24765396118164,6.818540573120117,0.9755947238965242,2.7737183570861816,0.030331926420331,2496,,,,872988,84104464,1422548,,,
2018-03-23,1909.480119436615,1555.478165268898,,,,51.23826217651367,6.812770366668701,51.24766540527344,6.818063259124756,0.8327798020036806,9.404748916625977,0.2953510284423828,2560,,,,,83984373,1453645,,,
2018-03-24,1850.1358459463963,126.48443412780762,,,,50.990238189697266,6.772988319396973,51.24779510498047,6.8911919593811035,7.555174416740036,32.11436462402344,0.3634610176086426,1077,,,,,77661469,590818,,,
2018-03-25,3301.2447294138956,27884.40615489334,148.58406193078324,185.0,87.0,51.2412109375,6.8032612800598145,51.27366638183594,6.858736515045166,0.7428669309103968,2.892718553543091,0.0,19971,,,,,73718716,3561284,5520000,,
2018-03-26,2550.1705720435375,8668.687770962715,122.41429144921719,137.0,89.0,51.192142486572266,6.79356050491333,51.40129470825195,7.385640621185303,2.2963405419303213,35.56903839111328,0.0,13617,,,,472204,66042889,4479983,,,2492679
2018-03-27,2055.4255634210845,3269.5341411828995,,,,51.23887252807617,6.774238586425781,51.24859619140625,6.818863391876221,1.552598690827456,13.799426078796387,0.24421155452728271,2156,,,,1605974,81304338,1859358,,,
2018-03-28,1989.7641723071001,2641.192487835884,,,,51.23884963989258,6.812619686126709,51.248016357421875,6.818748950958252,0.7033600313496406,2.2106668949127197,0.05261809751391411,2016,,,,1213134,83530260,1324496,,,
2018-03-29,2047.9225743378202,3690.1036976901814,,,,51.22490692138672,6.779877662658691,51.24861145019531,6.818334102630615,1.4378831473693061,16.04002571105957,0.019704589620232582,4183,,,,847687,74460771,2560619,,,
2018-03-30,2124.4183363207403,2949.8853573799133,,,,51.24581527709961,6.817106246948242,51.25483703613281,6.846667289733887,1.0711130935580366,13.558849334716797,0.11969999223947525,3453,,,,674112,80520217,3858308,,,
2018-03-31,3750.2327986702326,23104.278407017468,,,,50.9632682800293,6.771694183349609,51.27344512939453,6.954745769500732,1.530636615284828,33.49481964111328,0.10639999061822891,23977,,,,,68766483,9120760,5335650,,
2018-04-01,2305.5180508017784,1852.2212171554565,,,,51.24534225463867,6.795015811920166,52.055419921875,7.146394729614258,4.260390264804837,37.82417297363281,0.01732289232313633,5660,,,,2409712,66323900,4636615,,,
2018-04-02,2230.674902691523,3071.8021297454834,,,,51.24152755737305,6.817093372344971,51.247989654541016,6.829457759857178,0.745974762159102,5.3983025550842285,0.027019834145903587,5053,,,,2201727,80353326,3567436,89542,,
2018-04-03,2005.680163265485,902.8757195472717,,,,51.23909378051758,6.796662330627441,53.236351013183594,14.651986122131348,11.530099022472719,44.51557540893555,0.3612102270126343,1804,,,,1168488,62273375,1603616,,,
2018-04-04,2941.7401470932273,9977.179318795563,,,,51.23922348022461,6.800060272216797,52.42754364013672,14.672142028808594,12.964436388933466,50.67850112915039,0.14392903447151184,17170,,,,,48642786,5572681,3960000,,
2018-04-05,2347.2286067818395,6837.582175731659,,,,51.22578430175781,6.781628131866455,51.247798919677734,6.830658912658691,0.8703826461968883,5.353582382202148,0.014301405288279057,4051,,,,3665862,76454727,3900665,,,
2018-04-06,1965.052330380878,2324.9360789358616,,,,51.239009857177734,6.812673091888428,51.24790573120117,6.818459510803223,1.1347346955919266,2.2197585105895996,0.3937157988548279,2089,,,,1081015,84119889,1106393,,,
2018-04-07,3251.779613185631,14746.819085240364,,,,51.23686981201172,6.7979583740234375,51.27359390258789,6.858624458312988,0.9568571458665998,3.28611421585083,0.08395060896873474,20121,,,,,73667825,4870085,5296302,,
2018-04-08,1884.6458486156964,488.69796562194824,,,,51.24696350097656,6.814227104187012,51.250247955322266,6.8183183670043945,1.0962971651987266,3.0379343032836914,0.13870836794376373,2571,85.0,85.0,85.0,,84209237,1092571,,,
2018-04-09,2086.37398611058,1729.0128998756409,,,,51.238929748535156,6.744946002960205,51.4664421081543,6.818091869354248,2.3581148880975538,28.760169982910156,0.3634609878063202,7801,85.0,85.0,85.0,,74433746,4025566,,,
2018-04-10,1993.2077720888492,791.8965353965759,,,,51.21897888183594,6.746730327606201,51.46774673461914,6.822258472442627,3.9295747436053428,25.93843650817871,0.2807912528514862,4184,85.0,85.0,85.0,,74934572,2670989,,,
2018-04-11,2062.108270614464,2374.5391438007355,,,,51.238975524902344,6.742269039154053,53.46272277832031,9.962092399597168,3.0904127368041663,31.881406784057617,0.06838372349739075,6605,85.0,85.0,85.0,1232449,74860399,2343648,,,
2018-04-12,3619.837425668923,14295.534505548538,,,,51.239013671875,6.732874870300293,51.49815368652344,6.836544513702393,1.3437950119057194,32.82706832885742,0.006179027259349823,17253,85.0,85.0,85.0,,60443423,11899510,4920000,,
2018-04-13,2339.7538979369774,6490.579332113266,,,,51.175193786621094,6.7734375,51.84202194213867,7.296682834625244,1.1778404893634065,6.267464637756348,0.14132340252399445,14149,85.0,85.0,85.0,,70240480,7554204,,,
2018-04-14,2161.558326657364,1253.5299096107483,,,,51.21976852416992,6.776373386383057,51.47520446777344,7.186114311218262,2.4044437707215325,33.739463806152344,0.016463391482830048,8478,85.0,85.0,85.0,1001206,68786714,4048546,,,
2018-04-15,3496.7554664918725,20344.853075801395,151.26025418833044,188.0,94.0,51.22282028198242,6.7537384033203125,51.27941131591797,6.858705520629883,1.0139715100869897,5.8516526222229,0.0,22408,85.0,85.0,85.0,,72554990,6347522,5220000,,
2018-04-16,1900.3245598626713,996.4233906380832,,,,51.238853454589844,6.732743263244629,51.49814987182617,6.819372177124023,2.8096197452471277,28.78714370727539,0.3449668288230896,2870,85.0,85.0,85.0,,76872248,1320531,,,
2018-04-17,1872.1352989556217,700.427900314331,,,,51.2388801574707,6.738566875457764,51.49797058105469,6.82182502746582,4.692981350512487,32.949886322021484,0.5216062664985657,3570,85.0,85.0,85.0,,81190770,910678,,,
2018-04-18,2031.8871520996568,632.7858920097351,,,,51.23869323730469,6.732743263244629,51.49768829345703,6.859617233276367,2.3071374031613643,49.16758346557617,0.3634609580039978,5188,85.0,85.0,85.0,,73386069,2097953,499572,,
2018-04-19,1923.5115323870896,561.2430257797241,,,,51.23884963989258,6.810458660125732,51.247867584228516,6.818753242492676,1.1190519437486848,13.945609092712402,0.2838592827320099,3225,85.0,85.0,85.0,,84153605,1657652,,,
2018-04-20,3015.4740551365167,12394.569106595474,,,,51.23896789550781,6.813431262969971,51.267250061035156,6.836373329162598,0.7878999402835258,7.226654052734375,0.04999999701976776,13258,84.5,85.0,84.0,,78137111,4057188,4160820,,
2018-04-21,2287.199856063737,4266.049343298655,,,,51.24536895751953,6.793679714202881,52.08656692504883,7.1466803550720215,2.513065598468183,45.009674072265625,0.01666666567325592,3997,84.6500015258789,85.0,84.30000305175781,2361622,73336685,4461873,,,
2018-04-22,1913.1820985082252,649.4278256893158,,,,51.2451171875,6.794089317321777,52.05429458618164,7.147111892700195,2.3829418198042895,48.65435791015625,0.03333333134651184,998,84.75,85.0,84.5,,76940857,1507470,,,
2018-04-23,1996.7482055926057,2877.2909870147705,,,,51.23904800415039,6.812551975250244,51.24768829345703,6.818538665771484,0.8027327999606141,4.961245059967041,0.14469769597053528,1869,85.0,85.0,85.0,1699792,80670624,905969,,,
2018-04-24,2060.749149505542,5551.9463202655315,,,,51.23166275024414,6.8075432777404785,51.24836730957031,6.8275957107543945,2.0486540733515883,12.223774909973145,0.22050535678863525,4853,85.0,85.0,85.0,1595206,81788698,1931742,,,
2018-04-25,3892.1005711086964,23371.971089940154,96.128125,135.0,70.0,51.23869323730469,6.7933502197265625,51.40102767944336,7.000554084777832,1.6326414764393695,48.00448989868164,0.0,18952,84.70000076293945,85.0,84.4000015258789,,66835408,4711629,8100000,,31000
2018-04-26,2241.578816422647,8342.586144566536,,,,51.23830032348633,6.769906997680664,51.248924255371094,6.818098068237305,1.955826204348954,9.955286026000977,0.05551757290959358,4526,85.0,85.0,85.0,3331924,80346623,2721453,,,
2018-04-27,2195.104055710428,4176.896690368652,,,,51.23884201049805,6.733475685119629,51.49773025512695,6.855605125427246,1.4503832065197724,19.40560531616211,0.020430581644177437,6280,85.0,85.0,85.0,2218119,75243735,3236018,,,
2018-04-28,3987.644728530617,33282.201641809545,,,,51.22307586669922,6.757710933685303,51.273765563964844,6.861395835876465,0.6433117715813605,9.0,0.03333333134651184,22925,82.87821010331423,85.0,81.5999984741211,2209703,65593338,9554532,5760000,,
2018-04-29,546.926547680469,,,,,51.24672317504883,6.816286087036133,51.24822235107422,6.818986415863037,1.1236571352641171,8.43988037109375,0.5115289688110352,33,85.0,85.0,85.0,,26114647,,,,
