Beginn,Ende,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms),Laufen – Dauer (ms)
15:15:00.000+01:00,15:30:00.000+01:00,18.848958210050444,,,,,51.247615814208984,6.817461013793945,51.247703552246094,6.817659854888916,,,,,,,,900000,
15:30:00.000+01:00,15:45:00.000+01:00,18.848958210050444,,,,,51.247623443603516,6.817333698272705,51.247859954833984,6.818077087402344,,,,196,,,,900000,
15:45:00.000+01:00,16:00:00.000+01:00,18.848958210050444,,,,,51.24746322631836,6.816987037658691,51.2486457824707,6.817676067352295,0.505896806716919,0.505896806716919,0.505896806716919,249,,,,900000,
16:00:00.000+01:00,16:15:00.000+01:00,18.848958210050444,,,,,51.24748611450195,6.8173017501831055,51.247562408447266,6.817444801330566,,,,,,,,900000,
16:15:00.000+01:00,16:30:00.000+01:00,18.848958210050444,,,,,,,,,,,,182,,,,900000,
16:30:00.000+01:00,16:45:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
16:45:00.000+01:00,17:00:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
17:00:00.000+01:00,17:15:00.000+01:00,18.848958210050444,,,,,51.24760818481445,6.817483425140381,51.24760818481445,6.817483425140381,,,,,,,,900000,
17:15:00.000+01:00,17:30:00.000+01:00,18.848958210050444,,,,,51.247581481933594,6.81742525100708,51.247581481933594,6.81742525100708,,,,,,,,900000,
17:30:00.000+01:00,17:45:00.000+01:00,18.848958210050444,,,,,51.24761199951172,6.817481517791748,51.24761199951172,6.817481517791748,,,,,,,,900000,
17:45:00.000+01:00,18:00:00.000+01:00,18.848958210050444,,,,,51.24755096435547,6.817403793334961,51.247623443603516,6.817511081695557,,,,61,,,,900000,
18:00:00.000+01:00,18:15:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
18:15:00.000+01:00,18:30:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
18:30:00.000+01:00,18:45:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
18:45:00.000+01:00,19:00:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
19:00:00.000+01:00,19:15:00.000+01:00,18.848958210050444,,,,,51.24763870239258,6.817323207855225,51.24763870239258,6.817323207855225,,,,51,,,,900000,
19:15:00.000+01:00,19:30:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
19:30:00.000+01:00,19:45:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
19:45:00.000+01:00,20:00:00.000+01:00,18.848958210050444,,,,,,,,,,,,9,,,,900000,
20:00:00.000+01:00,20:15:00.000+01:00,18.848958210050444,,,,,,,,,,,,18,,,,900000,
20:15:00.000+01:00,20:30:00.000+01:00,18.848958210050444,,,,,51.247657775878906,6.817395210266113,51.247657775878906,6.817395210266113,,,,,,,,900000,
20:30:00.000+01:00,20:45:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
20:45:00.000+01:00,21:00:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
21:00:00.000+01:00,21:15:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
21:15:00.000+01:00,21:30:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
21:30:00.000+01:00,21:45:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
21:45:00.000+01:00,22:00:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
22:00:00.000+01:00,22:15:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
22:15:00.000+01:00,22:30:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
22:30:00.000+01:00,22:45:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
22:45:00.000+01:00,23:00:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
23:00:00.000+01:00,23:15:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
23:15:00.000+01:00,23:30:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
23:30:00.000+01:00,23:45:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
23:45:00.000+01:00,00:00:00.000+01:00,18.848958210050444,,,,,,,,,,,,,,,,900000,
